date,INTC,ASML,AMAT,AMD,QCOM,TSM,TXN,AVGO,NVDA,InterestRate,CPI,Sentiment,INTC_return,ASML_return,AMAT_return,AMD_return,QCOM_return,TSM_return,TXN_return,AVGO_return,NVDA_return,InterestRate_return,CPI_return,Sentiment_return,INTC_return_volatility,ASML_return_volatility,AMAT_return_volatility,AMD_return_volatility,QCOM_return_volatility,TSM_return_volatility,TXN_return_volatility,AVGO_return_volatility,NVDA_return_volatility,InterestRate_return_volatility,CPI_return_volatility,Sentiment_return_volatility,Sentiment_avg,ChipInventoryIndex
8/30/2020,0.3018131610509212,-1.43541145,-1.568983436,-0.683478942,-0.871034686,-1.029712563,-1.339453284,-1.062688526,-0.878471881,0.299350824,-1.299010488,1.1385427750651025,-0.004612865,0.008247656,-0.006815392,0.003632698,0.020717355,0.007749377,0.014449146,0.023477875,0.029034083,-0.015022411,-0.002377211,-0.034888446,0.00748956,0.006048378,0.009313744,0.028395229,0.011748909,0.009094587,0.003194447,0.004722232,0.007328228,0.024320474,0.003277404,0.2824546520693524,0.277447024,100.74507122951685
9/6/2020,0.2880808638673802,-1.438440695,-1.602879553,-0.704087284,-0.829117119,-1.009867997,-1.308545312,-1.044444638,-0.87202524,1.223374540458626,-1.404350173,1.5184618548473796,-0.002568328,-0.001443718,-0.020913881,-0.008697266,0.009144698,0.005870102,0.004971544,0.018266194,0.009839252,0.023209094,-0.00300996,0.3013587382414002,0.005123005,0.006112999,0.015684411,0.02410926,0.014758335,0.00487158,0.007052346,0.002772877,0.015700715,0.027616064,0.003821077,0.2506370346666071,0.3114414767163133,100.23358230775744
9/13/2020,0.2844705112820608,-1.448499598,-1.632001367,-0.723784705,-0.812974079,-0.990593538,-1.313144495,-1.033690111,-0.872572315,0.082180688,-1.233409308,1.581388897567569,-0.000676977,-0.004800937,-0.01835195,-0.008385766,0.003489837,0.005668189,-0.000736118,0.01057452,-0.000826844,-0.028013676,0.004899185,0.03835597,0.003360932,0.008313504,0.013168484,0.014876924,0.013055266,0.002495216,0.009368507,0.006218913,0.019601158,0.02359348,0.004538231,0.1754300495815249,0.325529948,101.85275568491865
9/20/2020,0.3030664714701984,-1.44865922,-1.643102336,-0.725103779,-0.770390162,-0.948185243,-1.308549939,-1.0208701,-0.870587453,0.7610082762662923,-1.132494253,0.991601248,0.003489288,-7.66E-05,-0.007126378,-0.000566317,0.009173868,0.012401044,0.00073592,0.012473531,0.003002383,0.017143915,0.002878137,-0.346214347,0.0034514,0.005544824,0.007385958,0.006065313,0.007235632,0.003129514,0.006838339,0.005852897,0.013269442,0.024773743,0.00389737,0.2664217232680099,0.3149279430713173,103.60454378692174
9/27/2020,0.341279213,-1.428108331,-1.617676934,-0.694720316,-0.683423813,-0.882652357,-1.257536543,-1.007045096,-0.8595846,-0.453792231,-1.196429009,0.963014575,0.007145188,0.009856649,0.016439244,0.013051906,0.018564879,0.018928411,0.008164913,0.013285643,0.016593535,-0.030162899,-0.001818211,-0.025667149,0.004344862,0.006302588,0.017038422,0.010187449,0.006248162,0.006304659,0.00405484,0.003280481,0.007686464,0.028564095,0.003762847,0.2661783678957806,0.3052614155513028,101.4053462939649
10/4/2020,0.3819784180240137,-1.390925548,-1.567818326,-0.643736342,-0.558061569,-0.788484473,-1.148955225,-0.991960804,-0.841380151,-0.201364899,-1.365436025,1.088623081789183,0.007556128,0.017659599,0.031715586,0.021619151,0.026273561,0.02669402,0.017238158,0.014305741,0.027006222,0.006462577,-0.004815067,0.1157512553304729,0.003834076,0.010065477,0.02262116,0.013453814,0.010077522,0.008992825,0.008237655,0.00157944,0.012787168,0.024024103,0.004413964,0.2029255216189259,0.2815897302124364,101.83902258386495
10/11/2020,0.389645952,-1.356078177,-1.521703264,-0.598149844,-0.42417092,-0.675129755,-1.021665057,-0.978162378,-0.826023507,0.5173696946379286,-1.276676987,0.154691903,0.001412862,0.016263216,0.028432523,0.018921352,0.027342567,0.031297507,0.019865887,0.012901675,0.02218245,0.018282696,0.00254101,-0.771354727,0.002957821,0.008083459,0.017598428,0.009884949,0.008407866,0.008358944,0.008754099,0.000783116,0.01037508,0.022696253,0.003690648,0.3936912095751781,0.2030199863034451,104.98905142824297
10/18/2020,0.3359572290367594,-1.338436613,-1.502544492,-0.581184532,-0.311207185,-0.567365213,-0.927332341,-0.968859745,-0.822118966,0.7169730129100657,-1.13646426,0.4951599392708896,-0.009879024,0.008101535,0.011485885,0.00691094,0.022454987,0.028851079,0.014435518,0.00858727,0.005517658,0.004986216,0.004003862,1.2298535258065817,0.008124465,0.004698671,0.009613138,0.006541019,0.003991838,0.005350924,0.005023327,0.002525687,0.009242463,0.02090166,0.004040481,0.8259033771828967,0.1756804273867739,104.19702561872964
10/25/2020,0.2176640498312481,-1.33462883,-1.502850993,-0.59157297,-0.224169228,-0.476498679,-0.885488318,-0.965365189,-0.828667851,0.3320681121567551,-1.263988744,1.7840008539076069,-0.021983781,0.001734595,-0.000181663,-0.004202759,0.016921476,0.023644908,0.006312175,0.003198363,-0.0092037,-0.00956746,-0.003627019,2.087853507,0.013024865,0.007445044,0.014943075,0.011877393,0.004710742,0.003250559,0.005868827,0.00499879,0.016521979,0.011413056,0.004394236,1.252778191183816,0.220893028,102.76223266626118
11/1/2020,0.077982852,-1.32231767,-1.486988852,-0.607465236,-0.132404322,-0.393221209,-0.8579498,-0.963316948,-0.836005291,0.092494989,-1.166868375,1.887965111331262,-0.026542057,0.005598507,0.009403243,-0.006456529,0.017543602,0.021169561,0.004128131,0.001868659,-0.010407711,-0.006012518,0.002772329,0.054541625,0.012587517,0.006145207,0.011903827,0.011655808,0.004861719,0.004649013,0.007290805,0.005086288,0.015266275,0.012543605,0.003427058,1.2620713868986155,0.2649136568585675,104.69508559222572
11/8/2020,-0.001960855,-1.282276346,-1.423514847,-0.604225198,0.000710053,-0.304383315,-0.795251884,-0.955532596,-0.835361859,-0.095076568,-1.128723102,1.003154202664114,-0.015604998,0.018107441,0.037277526,0.00132488,0.025010022,0.022114887,0.009360021,0.007088603,0.000922267,-0.00473592,0.001085857,-0.440180462,0.00729186,0.006990437,0.016014876,0.005983256,0.003903296,0.003425981,0.004466763,0.003169857,0.007766416,0.006224365,0.003345007,1.142971217594734,0.3116393917862732,103.59446211376154
11/15/2020,0.00661488,-1.214096294,-1.313201361,-0.571127365,0.1685092738057254,-0.210540714,-0.684252133,-0.938919674,-0.82804673,-0.80454742,-1.23662817,1.350249631120109,0.001700519,0.030283939,0.062457532,0.013516087,0.030757493,0.022855293,0.016417221,0.015021611,0.010475531,-0.017998389,-0.003068333,0.3084474153237884,0.012379944,0.012949183,0.028349745,0.008933425,0.006586823,0.001055751,0.005357004,0.005915177,0.009776673,0.005973872,0.00313169,1.1015617999112672,0.3587301043759036,103.99220160593833
11/22/2020,0.089299193,-1.134279483,-1.183505644,-0.510979457,0.3331909136930776,-0.119870666,-0.550286987,-0.914210922,-0.82127674,-0.497602348,-1.159922561,1.1995029267306074,0.016367987,0.034410618,0.069114675,0.024234903,0.0292853,0.021589193,0.019493842,0.022011317,0.009594366,0.007929532,0.002187875,-0.102382044,0.018919614,0.012997025,0.027155636,0.013508662,0.005928045,0.000726808,0.00693099,0.008852733,0.009711711,0.010599667,0.002636263,0.3132059287543629,0.3265411724307617,105.44714681503287
11/29/2020,0.2093141773606332,-1.059952101,-1.070738633,-0.439101477,0.4577197306976446,-0.043206527,-0.429281036,-0.885300731,-0.820757125,-0.453002775,-1.374195785,2.4230317700186426,0.02337527,0.030978042,0.056208554,0.02827594,0.021514863,0.017868518,0.017271408,0.025199414,0.000729396,0.001143108,-0.006098374,0.925760503,0.017260855,0.007123944,0.013711175,0.012072457,0.004198222,0.002220559,0.004380096,0.008042746,0.005329624,0.01101355,0.003824872,0.5878831785454038,0.3560078710481325,102.5992386156335
12/6/2020,0.2968235624000959,-1.010865759,-1.011300496,-0.388945051,0.5106182741822218,0.009326205,-0.364603383,-0.862865742,-0.824708932,0.2530463024301777,-1.200514558,1.4982443212971392,0.016654856,0.019843414,0.028050193,0.01918837,0.0089468,0.01202914,0.009074829,0.019074669,-0.005543199,0.018075713,0.004973426,-0.363349099,0.009141982,0.006288096,0.018057743,0.006385547,0.009980357,0.004856378,0.004516497,0.004331775,0.007634583,0.015208847,0.005004038,0.5618534297331887,0.3832730184411441,103.25764985477501
